OID_,CGI,FREQUENCY,PCI,ECI,LONGITUDE (processed),LATITUDE (processed),angle,TAC,Down frequency,Bandwidth,Electrical Tilt,Mechanical Tilt,Antenna transmit power(dBm),Height
77,10092778260,203,154,41340018948,106.7217341,29.59872567,240,10121472,636664,100M,0,4,24,15
78,10092778261,1,155,41340018949,106.7217341,29.59872567,320,10121472,636664,100M,0,4,24,15
79,10092787257,15,121,41340055809,106.7562544,29.60909423,180,10121472,636664,100M,0,4,24,23
80,10092787258,22,272,41340055810,106.7562544,29.60909423,240,10121472,636664,100M,0,4,24,23
81,10092798256,81,501,41340100864,106.7471402,29.60702207,70,10121472,636664,100M,6,4,24,30
82,10092798257,1366,502,41340100865,106.7471402,29.60702207,170,10121472,636664,100M,6,5,24,30
83,10092798258,847,503,41340100866,106.7471402,29.60702207,340,10121472,636664,100M,6,12,24,30
84,10092806262,7,618,41340133638,106.7375231,29.56486882,70,10116864,636664,100M,6,3,24,11
85,10092820258,24,404,41340190978,106.7334238,29.56580322,350,10116864,636664,100M,6,3,24,25
86,10092834256,23,462,41340248320,106.7247001,29.57508246,80,10116864,636664,100M,0,4,24,20
87,10092852256,181,390,41340322048,106.7331577,29.59032897,70,10121472,636664,100M,6,4,24,30
88,10092852257,337,391,41340322049,106.7331577,29.59032897,180,10121472,636664,100M,6,4,24,30
89,10092852258,331,392,41340322050,106.7331577,29.59032897,280,10121472,636664,100M,6,4,24,30
90,10092852259,1627,884,41340322051,106.7284337,29.58637261,30,10121472,636664,100M,0,5,24,25
91,10092852260,399,319,41340322052,106.7284337,29.58637261,140,10121472,636664,100M,0,5,24,25
92,10092852261,680,888,41340322053,106.7284337,29.58637261,230,10121472,636664,100M,0,5,24,25
93,10092855257,5,478,41340334337,106.719381,29.58874222,110,10121472,636664,100M,0,6,24,26
94,10092855258,7,479,41340334338,106.719381,29.58874222,230,10121472,636664,100M,0,6,24,26
95,10092855259,69,102,41340334339,106.7203603,29.59435713,70,10121472,636664,100M,0,5,24,19
96,10092855260,288,103,41340334340,106.7203603,29.59435713,190,10121472,636664,100M,0,5,24,19
97,10092855261,46,104,41340334341,106.7203603,29.59435713,310,10121472,636664,100M,6,5,24,19
98,10092856256,111,444,41340338432,106.7404328,29.60047478,10,10121472,636664,100M,6,4,24,30
99,10092856257,53,445,41340338433,106.7404328,29.60047478,260,10121472,636664,100M,6,4,24,30
100,10092856259,26,555,41340338435,106.7371267,29.6093632,80,10121472,636664,100M,0,9,24,25
